Cod_Plazo,Plazo_credito
1,A Más de 20 años
2,A Más de 7 años
3,Avances en efectivo
4,Consumos a Más de 36 meses
5,Consumos a un mes
6,Consumos entre  13 y 18 meses
7,Consumos entre 19 y 24  meses
8,Consumos entre 2 y 6 meses
9,Consumos entre 25 y 36 meses
10,Consumos entre 7 y 12 meses
11,Entre 31 días y 1 año
12,Hasta 1 año
13,Hasta 30 días
14,Hasta 6 meses
15,Más de 1 año y hasta 2 años
16,Más de 1 año y hasta 3 años
17,Más de 15 años y hasta 20 años
18,Más de 2 años y hasta 3 años
19,Más de 3 años y hasta 5 años
20,Más de 30 días y hasta 1 año
21,Más de 5 años y hasta 7 años
22,Más de 6 meses y hasta 1 año
23,Más de 7 años y hasta 15 años
24,Vivienda a 5 años
